Comment,Designator,Footprint,LCSC
Conn_01x02_Male,J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
AK4103A,U2,TSSOP-24_6.1x7.8mm_P0.65mm,
TOTX-177L,U1,Toshiba_TOTX177,
0.1u/35V,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Conn_01x05_Male,J1,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,
0.1u/35V,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
