Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u/35V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.578,-107.188,180.0,top
C2,0.1u/35V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.166,-107.188,0.0,top
J1,Conn_01x05_Male,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,47.916,-104.712,-90.0,top
J2,Conn_01x02_Male,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,47.916,-96.282,-90.0,top
U1,TOTX-177L,Toshiba_TOTX177,54.91,-96.03,-90.0,top
U2,AK4103A,TSSOP-24_6.1x7.8mm_P0.65mm,55.372,-113.036427,270.0,top
